alert,alt_baro,alt_geom,baro_rate,category,dbFlags,emergency,flight,gs,gva,hex,lat,lon,messages,mlat,nac_p,nac_v,nav_altitude_mcp,nav_heading,nav_qnh,nic,nic_baro,r,rc,rssi,sda,seen,seen_pos,sil,sil_type,spi,squawk,t,tisb,track,type,version
,ground,,,A2,1,none,C2702   ,9.2,,ae2126,38.677261,-121.396408,20112441,[],10,1,,,,8,,2702,186,-15.7,2,1.3,2.03,3,perhour,,1200,C27J,[],,adsb_icao,2
0,22000,,0,A0,1,,C2714   ,271,,ae4cf7,25.971577,-83.58683,18477886,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2714,0,-19.2,,0.5,2.68,,,0,2173,C27J,[],272,mlat,0
0,25000,26400,64,A3,1,none,C2012   ,340.6,2,ae5deb,35.950432,-84.721245,6960357,[],10,1,,,,8,1,2012,186,-10.1,2,0.1,0.11,3,perhour,0,5710,C30J,[],93.53,adsb_icao,2
0,325,475,,A7,1,none,C6542   ,109,2,ae2683,38.799683,-76.87056,8052641,[],11,1,,,,10,1,6542,25,-12.8,2,0.2,0.17,3,perhour,0,5147,AS65,[],359.47,adsb_icao,2
0,100,175,,A7,1,none,C6533   ,65.4,2,ae267b,39.625637,-74.189209,6702495,[],11,1,,,,10,1,6533,25,-6.5,2,0.7,0.68,3,perhour,0,4440,AS65,[],209.31,adsb_icao,2
0,2500,2600,,A7,1,none,C6511   ,122.1,2,ae2665,38.766037,-76.774727,4984498,[],11,1,,,,10,1,6511,25,-9.6,2,0.1,0.29,3,perhour,0,5147,AS65,[],161.86,adsb_icao,2
,ground,,,A3,1,none,C2010   ,10.2,,ae57d4,57.750664,-152.496063,13669216,[],10,2,,,,10,,2010,25,-11.8,2,0.2,0.17,3,perhour,,1200,C30J,[],,adsb_icao,2
0,1275,1200,,A2,1,none,C2317   ,181.7,2,ae4bf1,25.741241,-80.038551,10788863,[],10,1,,,,8,1,2317,186,-9.2,3,0,0.23,3,perhour,0,4425,CN35,[],350.17,adsb_icao,2
0,225,225,,A7,1,none,C6582   ,73.4,2,ae26a8,25.801666,-80.17878,6843188,[],11,1,,,,10,1,6582,25,-7.4,2,2.6,2.63,3,perhour,0,4425,AS65,[],11,adsb_icao,2
0,-25,275,,A7,1,none,C6605   ,54.1,2,ae26bc,39.445724,-74.544624,5359803,[],11,1,,,,10,1,6605,25,-11.5,2,1.3,1.26,3,perhour,0,4432,AS65,[],115.14,adsb_icao,2
0,1475,1475,1088,A2,1,none,C2312   ,126.2,2,ae270a,30.340256,-89.436249,14211954,[],11,1,2496,357.89,1013.6,8,1,2312,186,-6.2,3,0.1,0.12,3,perhour,0,0363,CN35,[],56.31,adsb_icao,2
0,300,425,,A7,1,none,C6516   ,131.3,2,ae266a,31.811829,-81.187973,5535873,[],11,1,,,,10,1,6516,25,-14.4,2,0,0.11,3,perhour,0,1200,AS65,[],16.36,adsb_icao,2
0,-50,-50,,A7,1,,C6584   ,6.1,2,ae26aa,29.649166,-94.979073,7708445,[],11,1,,,,8,1,6584,186,-25.1,2,3.3,3.29,3,perhour,0,,AS65,[],170.54,adsb_icao,2
0,900,925,,A7,1,none,C6059   ,65.5,2,ae6ced,44.744843,-85.585197,3353663,[],11,1,,,,9,1,6059,75,-11.2,2,0.7,0.84,3,perhour,0,1200,H60,[],344.05,adsb_icao,2
0,825,800,,A7,1,none,C6527   ,53.8,2,ae2675,42.479801,-82.812958,8280880,[],11,1,,,,10,1,6527,25,-12.6,2,0.9,0.88,3,perhour,0,4421,AS65,[],18.43,adsb_icao,2
0,600,500,,A7,1,none,C6579   ,124.6,2,ae26a5,25.86676,-80.421684,6813877,[],11,1,,,,9,1,6579,75,-7.7,2,0.2,0.4,3,perhour,0,4423,AS65,[],17.27,adsb_icao,2
0,150,225,,A7,1,none,C6052   ,60.1,2,ae4e04,36.261429,-76.185493,3868302,[],11,1,,,,10,1,6052,25,-3.2,2,12.4,19.19,3,perhour,0,1200,H60,[],92.86,adsb_icao,2
0,350,350,-127,A7,1,none,C6553   ,89.2,,ae268b,27.763,-97.512993,5212213,[],,1,,,,0,,6553,0,-29.2,,1.3,11.33,,,0,4430,AS65,[],312.27,adsb_icao,2
0,ground,-25,,A7,1,none,C6525   ,5.2,,ae2673,30.219498,-81.890327,3530828,[],11,1,,,,8,,6525,186,-28.2,2,26.2,26.15,3,perhour,0,1200,AS65,[],,adsb_icao,2
,,,,A7,1,,,134.9,,ae2915,,,998223,[],,1,,,,,,6038,,-27.4,,35.6,,,,,,H60,[],346.27,mode_s,0
0,725,850,,A7,1,none,C6565   ,96.3,2,ae2697,32.02319,-81.073494,5019867,[],11,1,,,,9,1,6565,75,-7.1,2,0.2,0.21,3,perhour,0,1200,AS65,[],246.1,adsb_icao,2
0,ground,25,,A7,1,none,C6606   ,6.8,2,ae26bd,39.44965,-74.56337,8233272,[],11,1,,,,8,1,6606,186,-11.1,2,13,13.05,3,perhour,0,4433,AS65,[],315,adsb_icao,2
,1700,,-355,,1,,,219,,ae223f,27.868811,-97.615128,11769578,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2308,0,-18.5,,0.5,5.93,,,,4632,CN35,[],143,mlat,
0,-25,0,,A7,1,none,C6041   ,41.2,2,ae2918,29.820236,-90.030159,5709112,[],11,1,,,,9,1,6041,75,-20.1,2,9.1,11.62,3,perhour,0,1200,H60,[],140.91,adsb_icao,2
0,4925,5175,,A7,1,none,C6029   ,154.4,2,ae290c,36.037537,-76.677933,2590214,[],10,1,,,,10,1,6029,25,-15.7,2,0.7,0.66,3,perhour,0,2675,H60,[],60.95,adsb_icao,2
0,9200,9800,,A3,1,none,C2008   ,215.8,2,ae57d2,36.514389,-76.684685,10534429,[],10,2,,137.11,1024,10,1,2008,25,-9.9,2,0.5,0.52,3,perhour,0,5316,C30J,[],136.69,adsb_icao,2
0,450,525,-128,A7,1,none,C6570   ,88.1,2,ae269c,29.581341,-95.114891,6617344,[],11,1,,,,10,1,6570,25,-8.3,2,0.6,0.59,3,perhour,0,1200,AS65,['baro_rate'],297.73,adsb_icao,2
0,1125,1200,,A7,1,,,112.6,2,ae26ab,30.432587,-88.214828,2552299,[],11,1,,,,8,1,6585,186,-27.2,2,7.3,7.26,3,perhour,0,,AS65,[],343.5,adsb_icao,2
0,425,550,,A7,1,none,C6595   ,89.9,2,ae26b5,30.225018,-81.895218,3613287,[],11,1,,,,10,1,6595,25,-8,2,0.2,0.41,3,perhour,0,1200,AS65,[],249.15,adsb_icao,2
0,275,250,,A7,1,none,C6063   ,58.1,2,af8434,46.160614,-123.893021,3188135,[],11,1,,,,10,1,6063,25,-3.3,2,1.1,2.63,3,perhour,0,1200,H60,[],92.96,adsb_icao,2
0,675,550,-256,A7,1,none,C6559   ,99,2,ae2691,37.618195,-122.409729,15565190,[],11,1,,,,10,1,6559,25,-10.4,2,0.1,0.07,3,perhour,0,0322,AS65,['baro_rate'],46.64,adsb_icao,2
0,1800,1725,-320,A7,1,none,C6531   ,36.9,2,ae2679,37.549988,-122.462494,15282174,[],11,1,,,,10,1,6531,25,-9.2,2,0.2,0.49,3,perhour,0,1200,AS65,['baro_rate'],12.53,adsb_icao,2
0,500,525,,A7,1,none,C6512   ,59.9,2,ae2666,30.681793,-88.24321,3321743,[],11,1,,,,10,1,6512,25,-21.1,2,0,0,3,perhour,0,0346,AS65,[],14.5,adsb_icao,2
0,150,175,,A7,1,none,C6056   ,72.1,2,ae6ceb,32.718475,-117.177872,14695834,[],11,1,,,,10,1,6056,25,-9.1,2,0,0.02,3,perhour,0,1200,H60,[],60.95,adsb_icao,2
0,1075,950,-64,A2,1,none,C2304   ,190.2,2,ae223b,25.827209,-80.099129,6691316,[],10,1,992,,1010.4,8,1,2304,186,-17.6,3,0.2,0.17,3,perhour,0,4426,CN35,[],8.77,adsb_icao,2
0,225,350,,A7,1,none,C6569   ,99.7,2,ae269b,48.188969,-123.361938,6838570,[],11,1,,,,9,1,6569,75,-4.8,2,0.1,0.1,3,perhour,0,1200,AS65,[],226.22,adsb_icao,2
0,275,375,,A7,1,none,C6561   ,68,2,ae2693,32.079254,-81.070587,4328275,[],11,1,,,,9,1,6561,75,-4.1,2,0,0.01,3,perhour,0,1200,AS65,[],88.32,adsb_icao,2
0,4875,4900,,A7,1,none,C6608   ,137.4,2,ae26bf,40.884781,-123.984024,5751218,[],11,1,,,,10,1,6608,25,-10.8,2,0.2,0.17,3,perhour,0,4422,AS65,[],265.83,adsb_icao,2
0,2000,1900,-576,A7,1,none,C6592   ,91.2,2,ae26b2,48.13171,-123.190399,7536377,[],11,1,,,,10,1,6592,25,-8.4,2,0.8,1.01,3,perhour,0,4536,AS65,['baro_rate'],273.77,adsb_icao,2
0,1275,1350,,A7,1,none,C6049   ,110.4,2,ae4e01,30.750137,-88.29319,3592816,[],11,1,,,,10,1,6049,25,-24,2,1,4.25,3,perhour,0,4504,H60,[],144.58,adsb_icao,2
0,6125,6275,,A7,1,none,C6547   ,111.4,2,ae2686,40.749687,-122.939011,6046917,[],11,1,,,,9,1,6547,75,-6.2,2,2.2,2.25,3,perhour,0,4420,AS65,[],306.97,adsb_icao,2
0,1200,1025,,A7,1,none,C6588   ,87,2,ae26ae,42.712284,-82.591637,7809377,[],11,1,,,,10,1,6588,25,-2.5,2,0.6,1.17,3,perhour,0,4422,AS65,[],210.4,adsb_icao,2
0,5550,,-921,A0,1,,C2707   ,198,,ae4adf,36.259235,-76.333153,9817449,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2707,0,-11,,0.3,1.46,,,0,0226,C27J,[],249,mlat,0
0,550,550,,A7,1,none,C6039   ,121.3,2,ae2916,27.906485,-82.749336,4553111,[],11,1,,,,9,1,6039,75,-3.7,2,0.1,0.33,3,perhour,0,0150,H60,[],86.22,adsb_icao,2
0,1550,1575,384,A7,1,,C6517   ,87.8,,ae266b,43.534927,-123.832588,1106689,[],0,0,,,,0,,6517,0,-13.5,,0.4,0.4,0,perhour,0,,AS65,"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",194.51,tisb_icao,
,ground,,,A7,1,none,C6575   ,6.2,,ae26a1,38.845608,-77.045937,6112546,[],11,1,,,,8,,6575,186,-15.7,2,1,1.01,3,perhour,,5145,AS65,[],,adsb_icao,2
0,500,350,,A7,1,none,C6572   ,74.5,2,ae269e,30.660049,-88.21489,3152593,[],10,1,,,,9,1,6572,75,-24,2,0.1,0.76,3,perhour,0,1200,AS65,[],165.22,adsb_icao,2
0,1575,,-68,,1,,C2303   ,90,,ae223a,25.908684,-80.386047,10659868,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2303,0,-7.9,,0,0.85,,,0,4427,CN35,[],102,mlat,
,25,250,-446,A7,1,,C6563   ,34,,ae2695,27.78021,-97.511848,5262374,[],,,,,,0,,6563,0,-49.5,,0.1,0.11,,,,,AS65,[],66,other,2
0,-25,25,,A7,1,none,C6506   ,21.2,2,ae2660,39.30423,-74.558121,5125705,[],11,1,,,,10,1,6506,25,-18.3,2,0.2,0.51,3,perhour,0,4446,AS65,[],199.29,adsb_icao,2
0,1250,1475,,A3,1,none,C2016   ,159.9,2,ae5def,36.225403,-76.193733,17213085,[],10,2,,102.66,1024.8,10,1,2016,25,-4.5,2,2.7,55.94,3,perhour,0,1200,C30J,[],285.6,adsb_icao,2
0,275,400,,A7,1,none,C6530   ,112.2,2,ae2678,32.035538,-81.134583,4477076,[],11,1,,,,10,1,6530,25,-9.2,2,0.7,1.05,3,perhour,0,1200,AS65,[],248.01,adsb_icao,2
0,125,,0,,1,,C6562   ,129,,ae2694,32.650436,-117.225494,14957066,"['callsign', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,6562,0,-7.2,,0.8,0.84,,,0,1200,AS65,[],10,mlat,
0,3975,,0,,1,,,173,,ae223d,27.714733,-97.575211,9073188,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2306,0,-13.9,,0,1.71,,,0,0166,CN35,[],319,mlat,
0,5925,6050,,A7,1,none,C6603   ,134.2,2,ae26ba,42.771286,-122.452614,5652228,[],11,1,,,,10,1,6603,25,-18.4,2,3,3,3,perhour,0,4421,AS65,[],63.43,adsb_icao,2
,,,-640,A2,1,,C2706   ,139.2,,ae2731,,,20335527,[],10,1,3040,305.16,1016.8,,1,2706,,-17.8,,21.7,,3,perhour,,,C27J,[],17.13,mode_s,0
0,350,475,-640,A7,1,none,C6507   ,76.8,2,ae2661,21.307297,-158.071335,5440248,[],11,1,,,,10,1,6507,25,-5.9,2,0.7,0.67,3,perhour,0,1200,AS65,['baro_rate'],55.07,adsb_icao,2
0,975,925,-640,A3,1,none,C101    ,120.8,2,ae10c1,45.617752,-122.654915,13986958,[],10,1,2496,,1013.6,8,1,01,186,-6.2,2,0.3,0.31,3,perhour,0,1344,GLF5,['baro_rate'],118.69,adsb_icao,2
0,875,1125,,A7,1,none,C6023   ,76.1,2,ae2907,41.552261,-70.545959,8681311,[],11,1,,,,10,1,6023,25,-16.8,2,0.7,0.67,3,perhour,0,1200,H60,[],87.74,adsb_icao,2
0,2425,,151,,1,,C102    ,264,,ae109a,33.069935,-96.128204,9552136,"['callsign', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,02,0,-8.1,,0.3,1.99,,,0,1200,GLF5,[],191,mlat,
0,1600,1575,-128,A2,1,none,C2316   ,112.1,2,ae4bf0,25.907995,-80.384109,10827199,[],10,1,1600,87.19,1012.8,8,1,2316,186,-12.4,3,0.5,0.61,3,perhour,0,4423,CN35,['geom_rate'],87.44,adsb_icao,2
0,1325,1575,576,A2,1,none,C2302   ,143.8,2,ae2238,41.631664,-70.515747,13957028,[],10,1,1600,25.31,1025.6,8,1,2302,186,-11.6,3,0.4,0.75,3,perhour,0,4420,CN35,['geom_rate'],78.77,adsb_icao,2
1,ground,,0,A7,1,,C6573   ,6.2,,ae269f,25.907368,-80.276886,7057618,[],10,1,,,,9,,6573,75,-23.9,2,2,5.23,3,perhour,0,4424,AS65,[],211,adsb_icao,2
0,13925,14600,64,A2,1,none,C2310   ,204.6,2,ae2708,30.476912,-91.337532,12784228,[],10,1,14016,258.05,1016,8,1,2310,186,-10.4,3,0.1,0.07,3,perhour,0,5231,CN35,[],257.87,adsb_icao,2
0,1050,975,,A7,1,none,C6597   ,135.3,2,ae26b7,30.121161,-81.674065,3516630,[],11,1,,,,10,1,6597,25,-3.1,2,0,0.03,3,perhour,0,1200,AS65,[],278.07,adsb_icao,2
,ground,,,A7,1,none,C6520   ,91,,ae266e,30.132252,-81.847694,3872798,[],11,1,,,,10,,6520,25,-8.8,2,1.3,1.26,3,perhour,,1200,AS65,[],,adsb_icao,2
0,1250,1500,,A3,1,none,C2017   ,160.6,2,ae5df0,36.215195,-76.133766,11834078,[],10,2,,331.88,1024.8,10,1,2017,25,-5.6,2,0,0.03,3,perhour,0,1200,C30J,[],245.35,adsb_icao,2
0,500,450,-128,A3,1,none,C2013   ,183.5,2,ae5dec,28.223694,-82.835327,15264506,[],10,1,,,,8,1,2013,186,-21.1,2,0.2,0.2,3,perhour,0,1200,C30J,[],121.18,adsb_icao,2
0,25,-25,,A7,1,none,C6587   ,11.2,2,ae26ad,48.179214,-123.539291,5964894,[],11,1,,,,10,1,6587,25,-3.2,2,1.4,1.38,3,perhour,0,1200,AS65,[],296.57,adsb_icao,2
0,1025,900,,A7,1,none,C6040   ,75.5,2,ae2917,32.557297,-117.092392,7514342,[],11,1,,,,10,1,6040,25,-5.5,2,0,0.03,3,perhour,0,1200,H60,[],348.54,adsb_icao,2
0,2025,1975,,A7,1,,C6046   ,128.5,,ae4dfe,45.986206,-123.907829,2292368,[],,1,,,,10,,6046,25,-33.1,,17.4,50.61,,,0,,H60,[],191.22,adsb_icao,2
0,800,900,,A7,1,none,C6060   ,113,2,ae6cee,36.306381,-76.213821,2657376,[],11,1,,,,10,1,6060,25,-4,2,0,0,3,perhour,0,1200,H60,[],179.49,adsb_icao,2
0,1450,1500,0,A2,1,none,C2315   ,120.9,2,ae4bef,30.776871,-88.323402,12356025,[],11,1,1504,144.14,1017.6,8,1,2315,186,-18.8,3,0.4,2.26,3,perhour,0,4544,CN35,[],119.74,adsb_icao,2
0,4900,5025,-192,A2,1,none,C2314   ,200.4,2,ae4bee,36.281509,-76.71981,10919519,[],10,1,2208,92.11,1017.6,8,1,2314,186,-12.1,3,0.3,0.31,3,perhour,0,0674,CN35,[],96.88,adsb_icao,2
0,225,225,,A7,1,none,C6025   ,62.8,2,ae2909,27.962128,-82.850281,4169793,[],11,1,,,,10,1,6025,25,-8.6,2,0.3,0.25,3,perhour,0,1200,H60,[],202.48,adsb_icao,2
0,725,825,,A7,1,none,C6518   ,116.1,2,ae266c,30.161179,-81.873238,4151511,[],11,1,,,,10,1,6518,25,-7.5,2,0,0,3,perhour,0,1200,AS65,[],358.03,adsb_icao,2
0,475,475,-128,A7,1,none,C6539   ,74.6,2,ae2681,32.690796,-117.152596,1333946,[],11,1,,,,10,1,6539,25,-2.9,2,0.6,0.94,3,perhour,0,1200,AS65,['baro_rate'],324.82,adsb_icao,2
0,1925,2000,,A7,1,none,C6053   ,134,2,ae6ce7,30.78891,-88.392494,3928938,[],11,1,,,,10,1,6053,25,-15.7,2,0.9,1.57,3,perhour,0,4574,H60,[],32.5,adsb_icao,2
0,375,425,,A7,1,none,C6503   ,49.1,2,ae265d,30.215561,-81.870117,1506247,[],11,1,,,,10,1,6503,25,-2.6,2,0.6,0.6,3,perhour,0,1200,AS65,[],93.5,adsb_icao,2
